date,reference_start,target_range,field,value
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Rate: mode,493.70
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,528.44
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: cut,52.75
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: hike,36.60
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 25bps - 50bps,0.65
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 50bps - 75bps,0.78
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,0.94
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,1.11
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,1.28
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.45
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.61
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,1.77
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,1.93
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,2.10
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,2.25
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,2.42
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,2.69
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,3.24
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,4.31
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,6.01
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,8.15
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.12
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,11.17
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,10.79
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,9.10
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,6.73
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,4.41
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.62
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 625bps - 650bps,1.50
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 650bps - 675bps,0.88
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,309.70
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mean,395.49
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mode,458.56
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,506.56
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: cut,65.91
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: hike,26.79
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 0bps - 25bps,0.90
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 25bps - 50bps,1.09
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 50bps - 75bps,1.29
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,1.48
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,1.63
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,1.73
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.78
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.82
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,1.93
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,2.17
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,2.62
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,3.25
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,4.03
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,4.89
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,5.76
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,6.61
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,7.36
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,7.90
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,8.06
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,7.70
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,6.81
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,5.55
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,4.19
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,2.99
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.09
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 625bps - 650bps,1.50
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 650bps - 675bps,1.15
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 675bps - 700bps,0.94
2023-03-30,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 700bps - 725bps,0.78
2023-03-30,2024-06-19T00:00:00Z,475bps - 475bps,Rate: 25th percentile,256.34
2023-03-30,2024-06-19T00:00:00Z,475bps - 475bps,Rate: mean,362.55
2023-03-30,2024-06-19T00:00:00Z,475bps - 475bps,Rate: mode,388.85
2023-03-30,2024-06-19T00:00:00Z,475bps - 475bps,Rate: 75th percentile,487.61
2023-03-30,2024-09-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,214.19
2023-03-30,2024-09-18T00:00:00Z,475bps - 475bps,Rate: mean,335.22
2023-03-30,2024-09-18T00:00:00Z,475bps - 475bps,Rate: mode,385.58
2023-03-30,2024-09-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,459.80
2023-03-30,2024-12-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,191.92
2023-03-30,2024-12-18T00:00:00Z,475bps - 475bps,Rate: mean,319.38
2023-03-30,2024-12-18T00:00:00Z,475bps - 475bps,Rate: mode,305.27
2023-03-30,2024-12-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,447.83
2023-03-30,2025-03-19T00:00:00Z,475bps - 475bps,Rate: 25th percentile,173.17
2023-03-30,2025-03-19T00:00:00Z,475bps - 475bps,Rate: mean,310.52
2023-03-30,2025-03-19T00:00:00Z,475bps - 475bps,Rate: mode,287.46
2023-03-30,2025-03-19T00:00:00Z,475bps - 475bps,Rate: 75th percentile,440.28
2023-03-30,2025-06-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,165.77
2023-03-30,2025-06-18T00:00:00Z,475bps - 475bps,Rate: mean,305.39
2023-03-30,2025-06-18T00:00:00Z,475bps - 475bps,Rate: mode,266.97
2023-03-30,2025-06-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,432.95
2023-03-30,2025-09-17T00:00:00Z,475bps - 475bps,Rate: 25th percentile,160.48
2023-03-30,2025-09-17T00:00:00Z,475bps - 475bps,Rate: mean,302.22
2023-03-30,2025-09-17T00:00:00Z,475bps - 475bps,Rate: mode,259.17
